FishDepth,Sdens,Wdens,SsmoothDens,WsmoothDens
-27,4.3808050514254e-05,4.99416672386764e-06,5.08537277139133e-05,1.02182983438264e-05
-28,5.18552188789796e-05,1.34136992390433e-05,4.9617190391264e-05,1.16079521944143e-05
-29,6.3925929765871e-05,1.3503242281499e-05,4.81529369927251e-05,1.29435233558091e-05
-30,3.22034861537624e-05,2.43598289960363e-05,4.65724910048034e-05,1.41447508432297e-05
-31,4.1783490321883e-05,1.23190874251968e-05,4.50598262957611e-05,1.51895771901577e-05
-32,3.6505577064915e-05,1.83816939803651e-05,4.3787329543153e-05,1.60794935470278e-05
-33,4.40196546256903e-05,1.71851577504003e-05,4.28039388719259e-05,1.68520347408031e-05
-34,4.39603384134813e-05,1.91090510047424e-05,4.21102949887846e-05,1.75539442437398e-05
-35,4.16398571948959e-05,1.26742671622459e-05,4.1708154338697e-05,1.82347089366273e-05
-36,3.88833215861831e-05,2.18168352329446e-05,4.16174658560867e-05,1.89477508483296e-05
-37,4.34389333782832e-05,1.79233390966573e-05,4.18444712388983e-05,1.97218723766565e-05
-38,4.68791062368252e-05,1.31836011993283e-05,4.23947158691324e-05,2.0576911376276e-05
-39,3.19093532291267e-05,2.55147916471955e-05,4.32859781090409e-05,2.15158857306665e-05
-40,3.94694087463589e-05,2.14299612781149e-05,4.45223915456663e-05,2.25065879133794e-05
-41,3.80873617091411e-05,1.687659750892e-05,4.60715897164239e-05,2.35051427750172e-05
-42,6.2222743455568e-05,1.57339263339699e-05,4.77730225151765e-05,2.44540931193234e-05
-43,5.4758642775722e-05,2.07847976661944e-05,4.94571095510137e-05,2.52515370635316e-05
-44,4.44153664499931e-05,5.23823680727188e-05,5.10501515666157e-05,2.56638300857187e-05
-45,5.19163881866748e-05,3.44720920006583e-05,5.25167394473019e-05,2.55460947292566e-05
-46,4.97558771326608e-05,3.23483516719253e-05,5.38126932367756e-05,2.48457390649371e-05
-47,5.68841697137601e-05,1.36874749737181e-05,5.48432857088868e-05,2.37368975699146e-05
-48,5.66832770036048e-05,2.21719619395785e-05,5.55004426192796e-05,2.24031383358378e-05
-49,7.58196766651672e-05,1.69498663671944e-05,5.56712638851086e-05,2.10030988684377e-05
-50,7.11406605582418e-05,1.80389521058417e-05,5.52890046392616e-05,1.96407450828721e-05
-51,2.92830795103447e-05,1.97687861231022e-05,5.45410876519271e-05,1.83863233723785e-05
